ID,Title,Automation Status,Created By,Created On,Expected Result,Forecast,Goals,Mission,PreConditions,Priority,References,Section,Section Depth,Section Description,Section Hierarchy,Steps,Steps,Steps (Expected Result),Steps (Step),Suite,Suite ID,Template,Type,Updated By,Updated On
C10945689,Verify printing of info sheet on Instant INK printer for unsupported model,No,Sravani Mollaka,2/21/2019 6:54,,,,,"Set Cloud welcome page unsupported model in printer .
Set Printer region as USA, Language as English.
Printer should be connected with good network.",Medium,,"Cloud Welcome Page- USA,English",2,"Cloud Welcome Page- USA,English test cases","Registration > GEN2 > Cloud Welcome Page- USA,English",,"1. From EWS Page :

Open printers EWS page using printer IP in browser and follow the steps to enable web services


Expected Result:
User should able to open the printers EWS page using IP.

Web Services should be enabled & Info sheet with Email address and printer code should print
2. From Printer FrontPanel:

Click on ePrint icon from printer front panel
Expected Result:
Enable WebServices page should display
3. Click on Enable option



Expected Result:
Confirmation page should display
4. Click on Yes
Expected Result:
Web Services should be enabled & Info sheet (native /local) with Email address and printer code should print","1. User should able to open the printers EWS page using IP.

Web Services should be enabled & Info sheet with Email address and printer code should print
2. Enable WebServices page should display
3. Confirmation page should display
4. Web Services should be enabled & Info sheet (native /local) with Email address and printer code should print","1. From EWS Page :

Open printers EWS page using printer IP in browser and follow the steps to enable web services


2. From Printer FrontPanel:

Click on ePrint icon from printer front panel
3. Click on Enable option



4. Click on Yes",WPP RelQA Test Cases,S1082,Test Case (Steps),Regression,Mohini Beura,2/27/2019 5:46
C10945690,Verify printing of info sheet on supported model printer after removing from HPC,No,Sravani Mollaka,2/21/2019 6:56,,,,,"Set Cloud welcome page supported model in printer .
Set Printer region as USA, Language as English.
Printer should be connected with good network.
Printer should be registered successfully",Low,,"Cloud Welcome Page- USA,English",2,"Cloud Welcome Page- USA,English test cases","Registration > GEN2 > Cloud Welcome Page- USA,English",,"1. Claim printer in HPC
Expected Result:
Printer should be claimed in HPC
2. Set FEA after claim in HPC
Expected Result:
Printer email id should change to FEA 
3. Remove printer from HPC 
Expected Result:
Printer should be removed from HPC 
4. Print info sheet 
Expected Result:
Info sheet with FEA , QR Code and Printer code should print","1. Printer should be claimed in HPC
2. Printer email id should change to FEA 
3. Printer should be removed from HPC 
4. Info sheet with FEA , QR Code and Printer code should print","1. Claim printer in HPC
2. Set FEA after claim in HPC
3. Remove printer from HPC 
4. Print info sheet",WPP RelQA Test Cases,S1082,Test Case (Steps),Regression,Mohini Beura,2/27/2019 5:46
C10945692,Verify printing of info sheet on supported model printer when region is Non US & HPC region and language set as English,No,Sravani Mollaka,2/21/2019 7:09,,,,,"Set Cloud welcome page supported model in printer .
Set Printer region as Non USA, Language as English.
Printer should be connected with good network.
",Low,,"Cloud Welcome Page- USA,English",2,"Cloud Welcome Page- USA,English test cases","Registration > GEN2 > Cloud Welcome Page- USA,English",,"1. From EWS Page :

Open printers EWS page using printer IP in browser and follow the steps to enable web services


Expected Result:
User should able to open the printers EWS page using IP.

Web Services should be enabled & Info sheet with printer code , Email address should print
2. From Printer Front Panel:

Click on ePrint icon from printer front panel


Expected Result:
Enable Web Services page should display
3. Click on Enable option


Expected Result:
Confirmation page should display
4. Click on Yes
Expected Result:
Web Services should be enabled & Info sheet (local/native) with printer code , Email address should print","1. User should able to open the printers EWS page using IP.

Web Services should be enabled & Info sheet with printer code , Email address should print
2. Enable Web Services page should display
3. Confirmation page should display
4. Web Services should be enabled & Info sheet (local/native) with printer code , Email address should print","1. From EWS Page :

Open printers EWS page using printer IP in browser and follow the steps to enable web services


2. From Printer Front Panel:

Click on ePrint icon from printer front panel


3. Click on Enable option


4. Click on Yes",WPP RelQA Test Cases,S1082,Test Case (Steps),Regression,Mohini Beura,2/27/2019 5:46
C10952973,Verify printing of info sheet on supported model [Palermo with US region and language English]printer after setting FEA,No,Sravani Mollaka,2/21/2019 7:15,,,,,"Printer should be connected with good network.
Set Cloud welcome page supported model in printer .
Set Printer region as USA, Language as English.

Printer should be registered and info sheet should be printed 

",Medium,,"Cloud Welcome Page- USA,English",2,"Cloud Welcome Page- USA,English test cases","Registration > GEN2 > Cloud Welcome Page- USA,English",,"1. Claim printer in HPC 
Expected Result:
Printer should be claimed 
2. Set FEA 
Expected Result:
Printer email id should change to FEA 
3. Print info sheet 
Expected Result:
Cloud Welcome Page with FEA , QR code and printer code should print","1. Printer should be claimed 
2. Printer email id should change to FEA 
3. Cloud Welcome Page with FEA , QR code and printer code should print","1. Claim printer in HPC 
2. Set FEA 
3. Print info sheet",WPP RelQA Test Cases,S1082,Test Case (Steps),Regression,Mohini Beura,2/27/2019 5:46
C10952978,Verify printing of  job from the new registration of supported model[[Palermo with US region and language English]after setting FEA,No,Sravani Mollaka,2/21/2019 7:25,,,,,"Set Cloud welcome page supported model in printer .
Set Printer region as USA, Language as English.
Printer Should registered and should be claimed in HPC",Low,,"Cloud Welcome Page- USA,English",2,"Cloud Welcome Page- USA,English test cases","Registration > GEN2 > Cloud Welcome Page- USA,English",,"1. Set FEA to the printer in HPC 
Expected Result:
Printer email ID should change to FEA 
2. Print info sheet 
Expected Result:
Cloud welcome page with FEA, QR Code and printer code should print 
3. Scan QR code using mobile and printer as mobile contact
Expected Result:
Printer should be added as mobile contact after scanning QR code 
4. Click on email (which is displayed on mobile ) and select client (Gmail or Yahoo etc.,)
Expected Result:
Gmail or Yahoo should open 
5. Attach test file and click on Send  
Expected Result:
Attached test file should print on printer","1. Printer email ID should change to FEA 
2. Cloud welcome page with FEA, QR Code and printer code should print 
3. Printer should be added as mobile contact after scanning QR code 
4. Gmail or Yahoo should open 
5. Attached test file should print on printer","1. Set FEA to the printer in HPC 
2. Print info sheet 
3. Scan QR code using mobile and printer as mobile contact
4. Click on email (which is displayed on mobile ) and select client (Gmail or Yahoo etc.,)
5. Attach test file and click on Send",WPP RelQA Test Cases,S1082,Test Case (Steps),Regression,Mohini Beura,2/27/2019 5:46
C10960273,Verify printing of info sheet when changing region from USA to Singapore or UK and language set as English,No,Sravani Mollaka,2/21/2019 7:40,,,,,"CWP supported model printer (USA, English) should be registered successfully ",Low,,"Cloud Welcome Page- USA,English",2,"Cloud Welcome Page- USA,English test cases","Registration > GEN2 > Cloud Welcome Page- USA,English",,"1. Open printers EWS page and click on settings 
Expected Result:
Printer Settings page should display
 
2. Click Preferences in menu list
Expected Result:
Preferences should display 
3. Click on International 
Expected Result:
Regions and Language list should display 

Printer region is USA , Language is English
4. Select region as UK OR Singapore then Click on OK
Expected Result:
Region should change to UK OR Singapore 

Language is English
5. Print info sheet 
Expected Result:
Info sheet(native/local) with email ID , Printer code should print","1. Printer Settings page should display
 
2. Preferences should display 
3. Regions and Language list should display 

Printer region is USA , Language is English
4. Region should change to UK OR Singapore 

Language is English
5. Info sheet(native/local) with email ID , Printer code should print","1. Open printers EWS page and click on settings 
2. Click Preferences in menu list
3. Click on International 
4. Select region as UK OR Singapore then Click on OK
5. Print info sheet",WPP RelQA Test Cases,S1082,Test Case (Steps),Regression,Mohini Beura,2/27/2019 5:46
C10960275,Verify printing of info sheet when changing region from Singapore or UK to USA,No,Sravani Mollaka,2/21/2019 7:47,,,,,"Cloud welcome page supported model printer(region is Singapore or UK, language is English) should be registered ",Low,,"Cloud Welcome Page- USA,English",2,"Cloud Welcome Page- USA,English test cases","Registration > GEN2 > Cloud Welcome Page- USA,English",,"1. Open printers EWS page and click on settings tab
Expected Result:
Settings page should display 
2. Claick on preferences and select international
Expected Result:
Language and regions should display 

Language is English and Region is Singapore or UK 
3. Select region USA and click on OK 
Expected Result:
Region should change to USA 

Now Language is English and Region is USA
4. Print info sheet 
Expected Result:
Cloud welcome page with QR code , email ID and printer code should print","1. Settings page should display 
2. Language and regions should display 

Language is English and Region is Singapore or UK 
3. Region should change to USA 

Now Language is English and Region is USA
4. Cloud welcome page with QR code , email ID and printer code should print","1. Open printers EWS page and click on settings tab
2. Claick on preferences and select international
3. Select region USA and click on OK 
4. Print info sheet",WPP RelQA Test Cases,S1082,Test Case (Steps),Regression,Mohini Beura,2/27/2019 5:46
C10960286,Verify printing of info sheet when printer region set as USA and language set as other than English,No,Sravani Mollaka,2/21/2019 7:54,,,,,Printer should be registered after setting printer region as USA and language as English,Low,,"Cloud Welcome Page- USA,English",2,"Cloud Welcome Page- USA,English test cases","Registration > GEN2 > Cloud Welcome Page- USA,English",,"1. Open printers EWS page and click on Settings 
Expected Result:
Printer Settings page should display 
 
2. Click on Preferences and select International 
Expected Result:
Language and region should display 

Language is ENGLISH and Region is USA
3. Change language from ENGLISH to other language 
Expected Result:
Language should change from ENGLISH

Now : Language is other than ENGLISH and Region is USA
4. Print info sheet 
Expected Result:
Info sheet (native/local )with printer email ID , printer code should print","1. Printer Settings page should display 
 
2. Language and region should display 

Language is ENGLISH and Region is USA
3. Language should change from ENGLISH

Now : Language is other than ENGLISH and Region is USA
4. Info sheet (native/local )with printer email ID , printer code should print","1. Open printers EWS page and click on Settings 
2. Click on Preferences and select International 
3. Change language from ENGLISH to other language 
4. Print info sheet",WPP RelQA Test Cases,S1082,Test Case (Steps),Regression,Mohini Beura,2/27/2019 5:46
C10960287,verify printing of info sheet after changing language from other than english to English and region set as USA,No,Sravani Mollaka,2/21/2019 8:05,,,,,"Printer should be registered after setting printer region as USA and language as other than English (ex : spanish, french ,german etc.,)",Low,,"Cloud Welcome Page- USA,English",2,"Cloud Welcome Page- USA,English test cases","Registration > GEN2 > Cloud Welcome Page- USA,English",,"1. Open printers EWS page and click on Settings

Expected Result:
Printer Settings page should display

2. Click on Preferences and select International
Expected Result:
Language and region should display

Language is other than english (ex : spanish, french ,german etc.,) and Region is USA
3. Change language FROM other than english (ex : spanish, french ,german etc.,) TO 
Expected Result:
Language should change to ENGLISH

Now : Language is ENGLISH and region is USA


4. Print info sheet
Expected Result:
Info sheet (CWP )with QR Code , printer email ID , printer code should print","1. Printer Settings page should display

2. Language and region should display

Language is other than english (ex : spanish, french ,german etc.,) and Region is USA
3. Language should change to ENGLISH

Now : Language is ENGLISH and region is USA


4. Info sheet (CWP )with QR Code , printer email ID , printer code should print","1. Open printers EWS page and click on Settings

2. Click on Preferences and select International
3. Change language FROM other than english (ex : spanish, french ,german etc.,) TO 
4. Print info sheet",WPP RelQA Test Cases,S1082,Test Case (Steps),Regression,Mohini Beura,2/27/2019 5:46
C10945662,Verify claim before registration with OCM flow,No,Sravani Mollaka,2/21/2019 5:57,,,,,"Fresh / New printer should be taken for test
In OOBE flow Collect Data should be enabled 

Note :  Allow HP to Collect Data by default check box is enabled ",Medium,,Claim Before Registration,2,,Registration > GEN2 > Claim Before Registration,,"1. Connect printer with power cable 
Expected Result:
User should get option to select language 
2. Select language and confirm
Expected Result:
Selected language should set on printer 
3. Select Region and confirm 
Expected Result:
Selected region should set on printer 
4. Set Network on printer  
Expected Result:
Network should be done
5. After n/w setup user will get following page

Help Make it Better

Allow HP to Collect Data (Check box should be enabled)---> click on CONTINUE 
HP would like to periodically collect anonymous data related to usage , such as print volume, printer features used , and model number to improve its products and services. No personal information included in this usage data 
Expected Result:
Printer update options page with following option should dispaly

-Install Automatically 
-Alert When Available 
-Do Not Check
6. Click on one option 
Install Automatically 
or
Alert When Available 
or
Do Not Check
Expected Result:
Printer Usage location page with following options should display

-Home 
-Business

7. Click on option Home  or Business
Expected Result:
If user clicks on HOME : 
Location : Home page should display with following options 
-Personal use
-Home based Business
-Work related use 
-Telecommuting 
-If user clicks on Business : 
Location : Business page should display with following options 
-1-9 employees
-10-99 employees
-100-499 employees
-More than 500 employees
8. Select one option and click on confirm
Expected Result:
Printer Home page should display 
9. Flash printer with latest FW 
Expected Result:
Printer should reflect with latest FW version after flash 
10. Click on set up 
Expected Result:
Set up page with following option should display
- Preferences 
- Tools
- Network setup
- Power Management 
- Web Services
- Printer Code ( Claim Code)

11. Click on Printer Code ( Claim Code)
Expected Result:
Printer Code ( Claim Code) page with printer code should display 

12. Open HPC page and click on add printer then enter printer code 
Expected Result:
printer should be added successfully 

13. In HPC click on my printers and check printer status
Expected Result:
Printer should be in offline state 

14. Register printer(enable web services ) from printer's EWS page or from printer front panel 
Expected Result:
Web services should be enabled successfully and prints info sheet with email ID

15. Check printer status in HPC
Expected Result:
Printer should be in online state and printer image , name and email id should display 

Note : user can set FEA and print jobs should work","1. User should get option to select language 
2. Selected language should set on printer 
3. Selected region should set on printer 
4. Network should be done
5. Printer update options page with following option should dispaly

-Install Automatically 
-Alert When Available 
-Do Not Check
6. Printer Usage location page with following options should display

-Home 
-Business

7. If user clicks on HOME : 
Location : Home page should display with following options 
-Personal use
-Home based Business
-Work related use 
-Telecommuting 
-If user clicks on Business : 
Location : Business page should display with following options 
-1-9 employees
-10-99 employees
-100-499 employees
-More than 500 employees
8. Printer Home page should display 
9. Printer should reflect with latest FW version after flash 
10. Set up page with following option should display
- Preferences 
- Tools
- Network setup
- Power Management 
- Web Services
- Printer Code ( Claim Code)

11. Printer Code ( Claim Code) page with printer code should display 

12. printer should be added successfully 

13. Printer should be in offline state 

14. Web services should be enabled successfully and prints info sheet with email ID

15. Printer should be in online state and printer image , name and email id should display 

Note : user can set FEA and print jobs should work","1. Connect printer with power cable 
2. Select language and confirm
3. Select Region and confirm 
4. Set Network on printer  
5. After n/w setup user will get following page

Help Make it Better

Allow HP to Collect Data (Check box should be enabled)---> click on CONTINUE 
HP would like to periodically collect anonymous data related to usage , such as print volume, printer features used , and model number to improve its products and services. No personal information included in this usage data 
6. Click on one option 
Install Automatically 
or
Alert When Available 
or
Do Not Check
7. Click on option Home  or Business
8. Select one option and click on confirm
9. Flash printer with latest FW 
10. Click on set up 
11. Click on Printer Code ( Claim Code)
12. Open HPC page and click on add printer then enter printer code 
13. In HPC click on my printers and check printer status
14. Register printer(enable web services ) from printer's EWS page or from printer front panel 
15. Check printer status in HPC",WPP RelQA Test Cases,S1082,Test Case (Steps),Regression,Sravani Mollaka,2/21/2019 6:11
