Id,ReleaseID,Type of Test Case,TestCaseTitle,TestCaseDescription,Error Prone Test Cases,Automation Status,Any Defect ,JIRA Bug ID,Bug Description,GIT Commit Message,Target
23,R20.2.1, API/Functionality,Generate authorization code for a device with invalid auth,"Given I have valid payload to generate Auth Code
      When I call generate authorization code API with invalid auth
      Then Response status code should be 401 for Auth Code POST API
      And Response has valid error code AUT020002 and error description Client authentication failed for POST API",,Yes,No,,,,1
24,R20.2.1, API/Functionality,Generate Entity token with valid request payload,"Given I have a valid device id to call Entity Token POST API
    When I call generate entity token POST API with valid request payload
    Then Response status code should be 200 for entity token generation POST API
    And Generated token should be valid JWE",Yes,Yes,No,,,,1
25,R20.2.1, API/Functionality,Verify Entity token for invalid cloud id,"When I call generate entity token POST API with invalid cloud id
    Then Response status code should be 400 for entity token generation POST API
    And Response body should contains Invalid target error message",,Yes,No,,,,1
26,R20.2.1, API/Functionality,Generate Entity token with empty scope in request payload,"Given I have a valid device id to call Entity Token POST API
    When I call generate entity token POST API with empty scope in request payload
    Then Response status code should be 200 for entity token generation POST API
    And Generated token should be valid JWE",,Yes,No,,,,1
27,R20.2.1, API/Functionality,Verify Entity token with invalid scope in request payload,"Given I have a valid device id to call Entity Token POST API
    When I call generate entity token POST API with invalid scope in request payload
    Then Response status code should be 400 for entity token generation POST API
    And Response body should contains Invalid Scope error message for entity token API",,Yes,No,,,,1
28,R20.2.1, API/Functionality,Verify Entity token with invalid access token type in request payload,"Given I have a valid device id to call Entity Token POST API
    When I call generate entity token POST API with invalid access token type in request payload
    Then Response status code should be 400 for entity token generation POST API
    And Response body should contains unsupported token type error message for entity token API",,Yes,No,,,,1
29,R20.2.1, API/Functionality,Verify Entity token with invalid grant type type in request payload,"Given I have a valid device id to call Entity Token POST API
    When I call generate entity token POST API with invalid grant type in request payload
    Then Response status code should be 400 for entity token generation POST API
    And Response body should contains unsupported grant type error message for entity token API",,Yes,No,,,,1
30,R20.2.1, API/Functionality,Verify Entity token with invalid access token in request payload,"Given I have a valid device id to call Entity Token POST API
    When I call generate entity token POST API with invalid access token in request payload
    Then Response status code should be 400 for entity token generation POST API
    And Response body should contains invalid grant error message for entity token API",,Yes,No,,,,1
31,R20.2.1, API/Functionality,Verify Entity token with invalid client id,"Given I have a valid device id to call Entity Token POST API
    When I call generate entity token POST API with invalid client
    Then Response status code should be 401 for entity token generation POST API
    And Response body should contains invalid client error message for entity token API",,Yes,No,,,,1
32,R20.2.1, API/Functionality,Verify Entity token with missing grant type,"Given I have a valid device id to call Entity Token POST API
    When I call generate entity token POST API with missing grant type
    Then Response status code should be 400 for entity token generation POST API
    And Response body should contains invalid request error message for entity token API",,Yes,No,,,,1
33,R20.2.1, API/Functionality,Create access and refresh tokens using valid auth code,"Given I have a valid auth code
    When I call generate tokens POST API with valid details and valid auth code
    Then Response status code should be 200 for printer token generation POST API
    And Response should have valid data for printer token generation API",Yes,Yes,No,,,,1
34,R20.2.1, API/Functionality,Create access and refresh token using invalid auth code,"Given I have an invalid auth code
    When I call generate tokens POST API with valid details and invalid auth code
    Then Response status code should be 400 for printer token generation POST API
    And Response body has valid error code AUT020005 and error description as Authorization code invalid or expired",,Yes,No,,,,1
35,R20.2.1, API/Functionality,Create access and refresh token using already used auth code,"Given I have already used auth code
    When I call generate tokens POST API with valid details and already used auth code
    Then Response status code should be 400 for printer token generation POST API
    And Response body has valid error code AUT020005 and error description as Authorization code invalid or expired",,Yes,No,,,,1
36,R20.2.1, API/Functionality,Create access and refresh tokens using invalid grant type,"Given I have a valid auth code
    When I call generate tokens POST API with valid auth code and invalid grant type
    Then Response status code should be 400 for printer token generation POST API
    And Response body has valid error code AUT020007 and error description as Unrecognized grant type by Authorization Server",,Yes,No,,,,1
37,R20.2.1, API/Functionality,Create access and refresh token using invalid auth,"Given I have a valid auth code
    When I call generate tokens POST API with valid auth code and invalid Auth type
    Then Response status code should be 401 for printer token generation POST API
    And Response body has valid error code AUT020002 and error description as invalid_client",,Yes,No,,,,1
38,R20.2.1, API/Functionality,Create access token and refresh token using valid refresh token,"Given I have a valid refresh token
      When I call generate tokens API with valid client details and auth to generate token
      Then Response status code should be 200 for token generation API
      And Response should have valid data for token generation POST API",Yes,Yes,No,,,,1
39,R20.2.1, API/Functionality,Create access token and refresh token using invalid refresh token,"Given I have a invalid refresh token
      When I call generate tokens API with valid details and invalid refresh token to generate token
      Then Response status code should be 500 for token generation API
      And Response has valid error code AUT020011 and error Internal Server Error for token generation API",,Yes,No,,,,1
40,R20.2.1, API/Functionality,Exchange HPID token with valid JWT,"Given I have a valid HPID User
    And  I have valid ID token for a HPID user
    When I call ID token exchange POST API with valid details
    Then Response status code should be 200 for ID token exchange POST API
    And Generated Exchanged token should be valid JWT",Yes,Yes,No,,,Update HPIDJwtTokenVerifierTest.java,1
41,R20.2.1, API/Functionality,Verify token exchange API for invalid client,"Given I have a valid HPID User
    And  I have valid ID token for a HPID user
    When I call token exchange POST API with invalid client credentials
    Then Response status code should be 401 for token exchange POST API
    And Response body should contains Invalid Client error message for token exchange POST API",,Yes,No,,,Update HPIDJwtTokenVerifierTest.java,1
42,R20.2.1, API/Functionality,Verify token exchange API for invalid subject token type,"Given I have a valid HPID User
    And  I have valid ID token for a HPID user
    When I call token exchange POST API with invalid subject token type
    Then Response status code should be 400 for token exchange POST API
    And Response body should contains Unsupported subject token type error message for token exchange POST API",,Yes,No,,,Update HPIDJwtTokenVerifierTest.java,1
43,R20.2.1, API/Functionality,Verify token exchange API for invalid grant type,"Given I have a valid HPID User
    And  I have valid ID token for a HPID user
    When I call token exchange POST API with invalid grant type
    Then Response status code should be 400 for token exchange POST API
    And Response body should contains invalid grant type error message for token exchange POST API",,Yes,No,,,Update HPIDJwtTokenVerifierTest.java,1
44,R20.2.1, API/Functionality,Verify token exchange API for missing attribute,"Given I have a valid HPID User
    And  I have valid ID token for a HPID user
    When I call token exchange POST API with empty grant type
    Then Response status code should be 400 for token exchange POST API
    And Response body should contains invalid request error message for token exchange POST API",,Yes,No,,,Update HPIDJwtTokenVerifierTest.java,1
45,R20.2.1, API/Functionality,Verify token exchange API for invalid subject token,"When I call token exchange POST API with invalid token
    Then Response status code should be 400 for token exchange POST API
    And Response body should contains invalid token error message for token exchange POST API",,Yes,No,,,Update HPIDJwtTokenVerifierTest.java,1
46,R20.2.1, API/Functionality,Verify Introspect Token API : Verify Client Credential grant type access token,"Given I have a valid access token of client credential grant type
    When I call introspect token POST API with valid details
    Then Response status code should be 200 for introspect token POST API
    And Response body should have status as true and other valid details related to token",Yes,Yes,No,,,,1
47,R20.2.1, API/Functionality,Verify Introspect Token API : Verify Client Credential grant type access token with valid token type hint,"Given I have a valid access token of client credential grant type
    When I call introspect token POST API with valid token and valid token hint type
    Then Response status code should be 200 for introspect token POST API
    And Response body should have status as true and other valid details related to token",,Yes,No,,,,1
48,R20.2.1, API/Functionality,Verify Introspect Token API : Verify token exchange grant type access token,"Given I have a valid access token of token exchange grant type
    When I call introspect token POST API with valid details
    Then Response status code should be 200 for introspect token POST API
    And Response body should have have status as true along with WPID and HPID",,Yes,No,,,,1
49,R20.2.1, API/Functionality,Verify Introspect Token API : Verify Client Credential grant type invalid access token,"When I call introspect token POST API with invalid token
    Then Response status code should be 200 for introspect token POST API
    And Response body should have status as false and other valid details related to token",,Yes,No,,,,1
50,R20.2.1, API/Functionality,Verify Introspect Token API : Verify Client Credential grant type access token with invalid token type hint,"Given I have a valid access token of client credential grant type
    When I call introspect token POST API with valid token and invalid token hint type
    Then Response status code should be 400 for introspect token POST API
    And Response body should have error message for invalid token hint type",,Yes,No,,,,1
51,R20.2.1, API/Functionality,Verify Introspect Token API : Verify introspect token API for invalid client credentials,"Given I have a valid access token of client credential grant type
    When I call introspect token POST API for invalid client credentials
    Then Response status code should be 401 for introspect token POST API
    And Response body should error message for invalid client details",,Yes,No,,,,1
52,R20.2.1, API/Functionality,Verify Introspect Token API : Verify reduced scopes in introspect token API,"Given I have a valid access token of client credential grant type
      When I call introspect token POST API with valid details
      Then Response status code should be 200 for introspect token POST API
      And Response body should have status as true and other valid details related to token
      And I call scope reduction API to reduced the scopes
      When I call introspect token POST API with valid details
      Then Response status code should be 200 for introspect token POST API
      And Response body should have status as true and reduced scopes",,Yes,No,,,,1
53,R20.2.1, API/Functionality,Verify Scope Reduction API : Exchange Access token with reduced scopes token,"Given I have a valid access token with higher scopes
    When I call scope reduction POST API with valid details
    Then Response status code should be 200 for scope reduction POST API
    And Generated token with reduced scope must be valid JWT
    And Response body should have reduced scope",Yes,Yes,No,,,,1
54,R20.2.1, API/Functionality,Verify Scope Reduction API : Exchange Access token with same scopes token,"Given I have a valid access token with higher scopes
    When I call scope reduction POST API with empty scopes in payload
    Then Response status code should be 200 for scope reduction POST API
    And Generated token with reduced scope must be valid JWT
    And Response body should have all scopes of subject token",,Yes,No,,,,1
55,R20.2.1, API/Functionality,Verify Scope Reduction API : Exchange ID token Exchange type access token with reduced scopes token,"Given I have a valid access token of id token exchange type with higher scopes
    When I call scope reduction POST API with valid details
    Then Response status code should be 200 for scope reduction POST API
    And Generated token with reduced scope must be valid JWT
    And Response body should have reduced scope",,Yes,No,,,,1
56,R20.2.1, API/Functionality,Verify Scope Reduction API : Verify scope reduction API for invalid client,"Given I have a valid access token with higher scopes
    When I call scope reduction POST API with invalid client credentials
    Then Response status code should be 401 for scope reduction POST API
    And Response body should contains Invalid Client error message for scope reduction POST",,Yes,No,,,,1
57,R20.2.1, API/Functionality,Verify Scope Reduction API : Verify scope reduction API for invalid subject token type,"Given I have a valid access token with higher scopes
    When I call scope reduction POST API with invalid subject token type
    Then Response status code should be 400 for scope reduction POST API
    And Response body should contains Unsupported subject token type error message for scope reduction POST API",,Yes,No,,,,0
58,R20.2.1, API/Functionality,Verify Scope Reduction API : Verify scope reduction API for invalid grant type,"Given I have a valid access token with higher scopes
    When I call scope reduction POST API with invalid grant type
    Then Response status code should be 400 for scope reduction POST API
    And Response body should contains invalid grant type error message for scope reduction POST API",,Yes,No,,,,0
59,R20.2.1, API/Functionality,Verify Granular Scope : Verify granular scope assigned for authorization grant type,,,No,No,,,,0
60,R20.2.1, API/Functionality,Verify Granular Scope : Verify scopes for authorization grant type,,,No,No,,,,0
61,R20.2.1, API/Functionality,Verify Granular Scope: Verify granular scope assigned for Client credential grant type,,,No,No,,,,0
62,R20.2.1, API/Functionality,Verify Granular Scope: Verify non assigned scopes for Client credential grant type,,,No,No,,,,0
63,R20.2.1, API/Functionality,Verify Granular Scope: Verify granular scope assigned for Client Delegation Toke Exchange grant type,,,No,No,,,,0
64,R20.2.1, API/Functionality,Verify Granular Scope: Verify non assigned scopes for Client Delegation Toke Exchange grant type,,,No,No,,,,0
65,R20.2.1, API/Functionality,Verify Granular Scope: Verify granular scope assigned for Scope Reduction Token Exchange grant type,,,No,No,,,,0
66,R20.2.1, API/Functionality,Verify Granular Scope: Verify non assigned scopes for Scope Reduction Toke Exchange grant type,,,No,No,,,,0
67,R20.2.1, API/Functionality,Verify Granular Scope: Verify granular scope assigned for ID Token Exchange grant type,,,No,No,,,,0
68,R20.2.1, API/Functionality,Verify Granular Scope: Verify non assigned scopes for ID Toke Exchange grant type,,,No,No,,,,0
69,R20.2.1, API/Functionality,Verify Granular Scope: Verify granular scope assigned for Printer JWE Token Exchange grant type,,,No,No,,,,0
70,R20.2.1, API/Functionality,Verify Granular Scope: Verify non assigned scopes for Printer JWE Toke Exchange grant type,,,No,No,,,,0
71,R20.2.1, API/Functionality,Verify Granular Scope: Verify granular scope assigned for Refresh Token grant type,,,No,No,,,,0
72,R20.2.1, API/Functionality,Verify Granular Scope: Verify granular scope not assigned for Refresh Token grant type,,,No,No,,,,0
73,R20.2.1, API/Functionality,Verify User Delegation token generation for token exchange grant type token,,,No,No,,,,0
74,R20.2.1, API/Functionality,Verify User Delegation token generation for scope reduction grant type token,,,No,No,,,,0
75,R20.2.1, API/Functionality,Verify User Delegation token generation for client delegation grant type token,,,No,No,,,,0
76,R20.2.1, API/Functionality,Verify User Delegation token generation  with requested user as HPID,,,No,No,,,,0
77,R20.2.1, API/Functionality,Verify User Delegation token generation  with requested user as WPID,,,No,No,,,,0
78,R20.2.1, API/Functionality,Verify User Delegation API with invalid client,,,No,No,,,,0
79,R20.2.1, API/Functionality,Verify User Delegation API without mandatory parameter Requested User,,,No,No,,,,0
80,R20.2.1, API/Functionality,Verify User Delegation API without mandatory parameter Requested User Type,,,No,No,,,,0
81,R20.2.1, API/Functionality,Verify User Delegation API without mandatory parameter Grant type,,,No,No,,,,0
82,R20.2.1, API/Functionality,Verify User Delegation API without mandatory parameter Subject Token,,,No,No,,,,0
83,R20.2.1, API/Functionality,Verify User Delegation API without mandatory parameter Subject Token Type,,,No,No,,,,0
84,R20.2.1, API/Functionality,Verify User Delegation API without optional parameter scopes,,,No,No,,,,0
85,R20.2.1, API/Functionality,Verify User Delegation API with invalid scopes,,,No,No,,,,0
86,R20.2.1, API/Functionality,Verify User Delegation API with unsupported grant type,,,No,No,,,,0
87,R20.2.1, API/Functionality,Verify User Delegation API with expired subject token,,,No,No,,,,0
88,R20.2.1, API/Functionality,Create client with all mandatory parameters,,,No,No,,,,0
89,R20.2.1, API/Functionality,Create client with all optional parameters,,,No,No,,,,0
90,R20.2.1, API/Functionality,Create client with multiple grant type,,,No,No,,,,0
91,R20.2.1, API/Functionality,Verify Create client API with expired Bearer Token,,,No,No,,,,0
92,R20.2.1, API/Functionality,Verify Create client API with Basic Auth,,,No,No,,,,0
93,R20.2.1, API/Functionality,Verify Create client API with Bearer Token of invalid client,,,No,No,,,,0
94,R20.2.1, API/Functionality,Verify Create client API with Bearer token of unauthorized client,,,No,No,,,,0
95,R20.2.1, API/Functionality,Verify Create client API with existing client id,,,No,No,,,,0
96,R20.2.1, API/Functionality,Verify Create client API with short client secret,,,No,No,,,,0
97,R20.2.1, API/Functionality,Verify Create client API without client name,,,No,No,,,,0
98,R20.2.1, API/Functionality,Verify Create client API without client Issued at parameter,,,No,No,,,,0
99,R20.2.1, API/Functionality,Verify Create client API with unsupported application type parameter,,,No,No,,,,0
100,R20.2.1, API/Functionality,Verify Create client API with unsupported grant type parameter,,,No,No,,,,0
101,R20.2.1, API/Functionality,Verify Create client API with unsupported auth method parameter,,,No,No,,,,0
102,R20.2.1, API/Functionality,Verify Create client API with unsupported signing algorithm parameter,,,No,No,,,,0
103,R20.2.1, API/Functionality,Verify Create client API without contacts parameter,,,No,No,,,,0
104,R20.2.1, API/Functionality,Verify Create client API without payload,,,No,No,,,,0
105,R20.2.1, API/Functionality,Verify Create client API with client id issue id as future date,,,No,No,,,,0
106,R20.2.1, API/Functionality,Verify Create client API without app type parameter,,,No,No,,,,0
107,R20.2.1, API/Functionality,Verify Create client API without grant type parameter,,,No,No,,,,0
108,R20.2.1, API/Functionality,Verify Create client API without grant types scope parameter,,,No,No,,,,0
109,R20.2.1, API/Functionality,Verify Create client API with invalid grant types scope parameter,,,No,No,,,,0
110,R20.2.1, API/Functionality,Update client details with multiple fields,,,No,No,,,,0
111,R20.2.1, API/Functionality,Update client details with single field,,,No,No,,,,0
112,R20.2.1, API/Functionality,Update client details with client secret and overlaps expires at fields,,,No,No,,,,0
113,R20.2.1, API/Functionality,Verify Update client API with expired Bearer Token,,,No,No,,,,0
114,R20.2.1, API/Functionality,Verify Update client API with Basic Auth,,,No,No,,,,0
115,R20.2.1, API/Functionality,Verify Update client API with Bearer Token of invalid client,,,No,No,,,,0
116,R20.2.1, API/Functionality,Verify Update client API with Bearer token of unauthorized client,,,No,No,,,,0
117,R20.2.1, API/Functionality,Verify Update client API with non existing client id,,,No,No,,,,0
118,R20.2.1, API/Functionality,Verify Update client API with short client secret,,,No,No,,,,0
119,R20.2.1, API/Functionality,Verify Update client API without client name,,,No,No,,,,0
120,R20.2.1, API/Functionality,Verify Update client API without client Issued at parameter,,,No,No,,,,0
121,R20.2.1, API/Functionality,Verify Update client API with unsupported application type parameter,,,No,No,,,,0
122,R20.2.1, API/Functionality,Verify Update client API with unsupported grant type parameter,,,No,No,,,,0
123,R20.2.1, API/Functionality,Verify Update client API with unsupported auth method parameter,,,No,No,,,,0
124,R20.2.1, API/Functionality,Verify Update client API with unsupported signing algorithm parameter,,,No,No,,,,0
125,R20.2.1, API/Functionality,Verify Update client API without contacts parameter,,,No,No,,,,0
126,R20.2.1, API/Functionality,Verify Update client API without payload,,,No,No,,,,0
127,R20.2.1, API/Functionality,Verify Update client API with client id issue id as future date,,,No,No,,,,0
128,R20.2.1, API/Functionality,Verify Update client API without app type parameter,,,No,No,,,,0
129,R20.2.1, API/Functionality,Verify Update client API without grant type parameter,,,No,No,,,,0
130,R20.2.1, API/Functionality,Verify Update client API without grant types scope parameter,,,No,No,,,,0
131,R20.2.1, API/Functionality,Verify Update client API with invalid grant types scope parameter,,,No,No,,,,0
132,R20.2.1, API/Functionality,Verify Update client API with different app type parameter,,,No,No,,,,0
133,R20.2.1, API/Functionality,Verify Update client API with different client id issued parameter,,,No,No,,,,0
134,R20.2.1, API/Functionality,Verify Update client API with different grant type parameter,,,No,No,,,,0
135,R20.2.1, API/Functionality,Verify Update client API with client secret and without overlaps expires at fields,,,No,No,,,,0
136,R20.2.1, API/Functionality,Verify Update client API with new client secret for a client who already has overlap secret,,,No,No,,,,0
137,R20.2.1, API/Functionality,Get client details for an on boarded client,,,No,No,,,,0
138,R20.2.1, API/Functionality,Verify Get client API with expired Bearer Token,,,No,No,,,,0
139,R20.2.1, API/Functionality,Verify Get client API with Basic Auth,,,No,No,,,,0
140,R20.2.1, API/Functionality,Verify Get client API with Bearer Token of invalid client,,,No,No,,,,0
141,R20.2.1, API/Functionality,Verify Get client API with Bearer token of unauthorized client,,,No,No,,,,0
142,R20.2.1, API/Functionality,Verify Get client API with invalid client id,,,No,No,,,,0
143,R20.2.1, API/Functionality,Delete client details for an on boarded client,,,No,No,,,,0
144,R20.2.1, API/Functionality,Verify Delete client API with expired Bearer Token,,,No,No,,,,0
145,R20.2.1, API/Functionality,Verify Delete client API with Basic Auth,,,No,No,,,,0
146,R20.2.1, API/Functionality,Verify Delete client API with Bearer Token of invalid client,,,No,No,,,,0
147,R20.2.1, API/Functionality,Verify Delete client API with Bearer token of unauthorized client,,,No,No,,,,0
148,R20.2.1, API/Functionality,Verify Delete client API with invalid client id,,,No,No,,,,0
149,R20.2.1, API/Functionality,Verify Hashing of client secret for newly on boarded client,,,No,No,,,,0
150,R20.2.1, API/Functionality,Verify Hashing of old and new Client secrets in Client secret and Secret Overlap tables,,,No,No,,,,0
151,R20.2.1, API/Functionality,Verify Scopes are always referred from Bottom to Top Approach in Dynamo DB,,,No,No,,,,0
152,R20.2.1, API/Functionality,Verify Client On boarding for App type as Native with Default Client,,,No,No,,,,0
153,R20.2.1, API/Functionality,Verify Client On boarding for App type as Native with Privileged Client,,,No,No,,,,0
154,R20.2.1, API/Functionality,Verify Client On boarding for App type as Web with Default Client,,,No,No,,,,0
155,R20.2.1, API/Functionality,Verify Client On boarding for App type as Web with Privileged Client,,,No,No,,,,0
156,R20.2.1, API/Functionality,Verify Client On boarding for App type as Browser with Default Client,,,No,No,,,,0
157,R20.2.1, API/Functionality,Verify Client On boarding for App type as Browser with Privileged Client,,,No,No,,,,0
158,R20.2.1, API/Functionality,Verify Client On boarding for App type as Service with Default Client,,,No,No,,,,0
159,R20.2.1, API/Functionality,Verify Client On boarding for App type as Service with Privileged Client,,,No,No,,,,0
160,R20.2.1, API/Functionality,Verify Token generated with greater length in RP based service,,,No,No,,,,0
161,R20.2.1, API/Functionality,Verify Printer Auth Code Generation API after GCS fix,,,No,No,,,,0
162,R20.2.1, API/Functionality,Verify Printer Token Generation API after GCS fix,,,No,No,,,,0
163,R20.2.1, API/Functionality,Verify Printer Refresh Token Generation API after GCS fix,,,No,No,,,,0
164,R20.2.1, Integration,Verify Refresh Token for Parallel Login : Two Parallel login from a client which have max refresh token value as two,"Given I have a valid HPID User
      And  I have valid ID token for a HPID user
      Then I call AuthZ Token Exchange API to generate first set of Access Token and Refresh token
      And I have first Access Token AT1 and Refresh Token RT1
      Then I call AuthZ Token Exchange API again to generate second set of Access Token and Refresh token
      And I have second Access Token AT2 and Refresh Token RT2
      Then I call AuthZ Refresh Token API  with RT1 to generate new Access Token
      And I should have AT3 and RT3
      Then I call AuthZ Refresh Token API one more time with RT2 to generate new Access Token
      And I should have AT4 and RT4",Yes,No,No,,,,1
165,R20.2.1, Integration,Verify Refresh Token for Parallel Login : Verify Access token generation for used/leaked refresh token from a client which have max refresh token value as two,"Given I have a valid HPID User
      And  I have valid ID token for a HPID user
      Then I call AuthZ Token Exchange API to generate first set of Access Token and Refresh token
      And I have first Access Token AT1 and Refresh Token RT1
      Then I call AuthZ Token Exchange API again to generate second set of Access Token and Refresh token
      And I have second Access Token AT2 and Refresh Token RT2
      Then I call AuthZ Refresh Token API  with RT1 to generate new Access Token
      And I should have AT3 and RT3
      Then I call AuthZ Token Exchange API again to generate fourth set of Access Token and Refresh token
      And I should have AT4 and RT4
      Then I call AuthZ Refresh Token API  with RT1 to generate new Access Token
      And I should get 400 bad request with 'invalid_grant' error message as RT1 was already replaced RT3
      Then I call AuthZ Refresh Token API  with RT3 to verify the response
      And I should get 400 bad request with 'invalid_grant' error message because when RT1",Yes,No,No,,,,1
